Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;00;Aeugst am Albis;1;ZH;8.487911353880977;47.26870659169308;de;2008-07-01
Aeugstertal;8914;02;Aeugst am Albis;1;ZH;8.493639300888871;47.282707711525426;de;2008-07-01
Zwillikon;8909;00;Affoltern am Albis;2;ZH;8.4338163821915;47.289571908993466;de;2008-07-01
Affoltern am Albis;8910;00;Affoltern am Albis;2;ZH;8.454392390322731;47.27879101652252;de;2008-07-01
Bonstetten;8906;00;Bonstetten;3;ZH;8.462510333349584;47.31603645125777;de;2008-07-01
Sihlbrugg;6340;04;Hausen am Albis;4;ZH;8.57526328532996;47.22116099918424;de;2008-07-01
Langnau am Albis;8135;00;Hausen am Albis;4;ZH;8.522602732784598;47.26616249106587;de;2008-07-01
Hausen am Albis;8915;00;Hausen am Albis;4;ZH;8.533080372240457;47.2486831186129;de;2008-07-01
Ebertswil;8925;00;Hausen am Albis;4;ZH;8.553387816630666;47.22790944223427;de;2008-07-01
Hedingen;8908;00;Hedingen;5;ZH;8.450402732189215;47.30233830422904;de;2008-07-01
Kappel am Albis;8926;00;Kappel am Albis;6;ZH;8.518401273495831;47.22850464821109;de;2008-07-01
Hauptikon;8926;02;Kappel am Albis;6;ZH;8.49443521433375;47.2325473484479;de;2008-07-01
Uerzlikon;8926;03;Kappel am Albis;6;ZH;8.499050491730666;47.21811361049676;de;2008-07-01
Knonau;8934;00;Knonau;7;ZH;8.463070514398174;47.22429178974388;de;2008-07-01
Maschwanden;8933;00;Maschwanden;8;ZH;8.430865808171731;47.23566580505311;de;2008-07-01
Mettmenstetten;8932;00;Mettmenstetten;9;ZH;8.46621230087719;47.24873640600875;de;2008-07-01
Affoltern am Albis;8910;00;Obfelden;10;ZH;8.438566231239783;47.27137607065747;de;2008-07-01
Obfelden;8912;00;Obfelden;10;ZH;8.422386633606727;47.260397515169295;de;2008-07-01
Ottenbach;8913;00;Ottenbach;11;ZH;8.408574839512227;47.281075029152625;de;2008-07-01
Rifferswil;8911;00;Rifferswil;12;ZH;8.494887179527833;47.245500568314604;de;2008-07-01
Adliswil;8134;00;Stallikon;13;ZH;8.505877599105137;47.31210529034569;de;2008-07-01
Stallikon;8143;00;Stallikon;13;ZH;8.489620691164005;47.329713161264756;de;2008-07-01
Uetliberg;8143;02;Stallikon;13;ZH;8.491735690409815;47.348511837034664;de;2008-07-01
Wettswil;8907;00;Wettswil am Albis;14;ZH;8.470612514879852;47.337402201764085;de;2008-07-01
Benken ZH;8463;00;Benken (ZH);22;ZH;8.654666544357353;47.65377796251362;de;2008-07-01
Berg am Irchel;8415;00;Berg am Irchel;23;ZH;8.585741053392127;47.56297524636508;de;2008-07-01
Gräslikon;8415;01;Berg am Irchel;23;ZH;8.605113275160601;47.55600242385774;de;2008-07-01
Buch am Irchel;8414;00;Buch am Irchel;24;ZH;8.625154489252619;47.55047880538237;de;2008-07-01
Dachsen;8447;00;Dachsen;25;ZH;8.62437529263727;47.6617499423667;de;2008-07-01
Dorf;8458;00;Dorf;26;ZH;8.64932974753579;47.5712719631618;de;2008-07-01
Feuerthalen;8245;00;Feuerthalen;27;ZH;8.644166019684505;47.68902348007601;de;2008-07-01
Langwiesen;8246;00;Feuerthalen;27;ZH;8.662656729449107;47.68335283582841;de;2008-07-01
Flaach;8416;00;Flaach;28;ZH;8.601940328056678;47.583401999004295;de;2008-07-01
Flurlingen;8247;00;Flurlingen;29;ZH;8.6355100827768;47.6836038261692;de;2008-07-01
Henggart;8444;00;Henggart;31;ZH;8.680830541990279;47.56038766231421;de;2008-07-01
Kleinandelfingen;8451;00;Kleinandelfingen;33;ZH;8.684949094705372;47.60679238878254;de;2008-07-01
Alten;8453;00;Kleinandelfingen;33;ZH;8.640865572663692;47.596902623289495;de;2008-07-01
Oerlingen;8461;00;Kleinandelfingen;33;ZH;8.677585176683852;47.623230234051334;de;2008-07-01
Nohl;8212;04;Laufen-Uhwiesen;34;ZH;8.610294829282594;47.66327005571952;de;2008-07-01
Uhwiesen;8248;00;Laufen-Uhwiesen;34;ZH;8.650169370351245;47.66931255982341;de;2008-07-01
Dachsen;8447;00;Laufen-Uhwiesen;34;ZH;8.613741920382957;47.67559683678512;de;2008-07-01
Marthalen;8460;00;Marthalen;35;ZH;8.638588343762152;47.61833178249139;de;2008-07-01
Ellikon am Rhein;8464;00;Marthalen;35;ZH;8.606011200204264;47.60219070959053;de;2008-07-01
Trüllikon;8466;00;Ossingen;37;ZH;8.689871286088065;47.62522371981104;de;2008-07-01
Ossingen;8475;00;Ossingen;37;ZH;8.721858087343579;47.611326411356856;de;2008-07-01
Rheinau;8462;00;Rheinau;38;ZH;8.618020226084239;47.6276412561848;de;2008-07-01
Ellikon am Rhein;8464;00;Rheinau;38;ZH;8.608697130502751;47.603579815000714;de;2008-07-01
Thalheim an der Thur;8478;00;Thalheim an der Thur;39;ZH;8.745260537156133;47.582005112517386;de;2008-07-01
Rudolfingen;8465;00;Trüllikon;40;ZH;8.671263890425347;47.63812495884512;de;2008-07-01
Wildensbuch;8465;01;Trüllikon;40;ZH;8.679796274412938;47.65096026924722;de;2008-07-01
Trüllikon;8466;00;Trüllikon;40;ZH;8.700218444114457;47.636300010441765;de;2008-07-01
Truttikon;8467;00;Truttikon;41;ZH;8.729610675287738;47.632404072922114;de;2008-07-01
Volken;8459;00;Volken;43;ZH;8.63146624787636;47.576626095025695;de;2008-07-01
Bülach;8180;00;Bachenbülach;51;ZH;8.564421710307736;47.51030825103764;de;2008-07-01
Bachenbülach;8184;00;Bachenbülach;51;ZH;8.545321773102083;47.50111301988018;de;2008-07-01
Bassersdorf;8303;00;Bassersdorf;52;ZH;8.625925501111519;47.4402100963228;de;2008-07-01
Bülach;8180;00;Bülach;53;ZH;8.545629418604193;47.53066414014792;de;2008-07-01
Glattfelden;8192;00;Bülach;53;ZH;8.52455019228672;47.54902720615962;de;2008-07-01
Dietlikon;8305;00;Dietlikon;54;ZH;8.612448140785865;47.424879085999095;de;2008-07-01
Dübendorf;8600;00;Dietlikon;54;ZH;8.624613634737624;47.408266936621025;de;2008-07-01
Eglisau;8193;00;Eglisau;55;ZH;8.523048290350431;47.57234105609508;de;2008-07-01
Rafz;8197;00;Eglisau;55;ZH;8.54163622790016;47.591164628469734;de;2008-07-01
Embrach;8424;00;Embrach;56;ZH;8.599599424268161;47.51005354341258;de;2008-07-01
Freienstein;8427;02;Freienstein-Teufen;57;ZH;8.596010573902099;47.532500535774496;de;2008-07-01
Teufen ZH;8428;00;Freienstein-Teufen;57;ZH;8.573868112983238;47.551541644540876;de;2008-07-01
Glattfelden;8192;00;Glattfelden;58;ZH;8.502318141225754;47.555370250687645;de;2008-07-01
Zweidlen;8192;01;Glattfelden;58;ZH;8.472620532989675;47.56722624991207;de;2008-07-01
Eglisau;8193;00;Glattfelden;58;ZH;8.495676835775107;47.578883855806644;de;2008-07-01
Hochfelden;8182;00;Hochfelden;59;ZH;8.508463863227513;47.528038918560895;de;2008-07-01
Glattfelden;8192;00;Hochfelden;59;ZH;8.499386931777147;47.53939418004454;de;2008-07-01
Höri;8181;00;Höri;60;ZH;8.500889987738475;47.508036643633844;de;2008-07-01
Hüntwangen;8194;00;Hüntwangen;61;ZH;8.498233472146518;47.59304235665857;de;2008-07-01
Kloten;8302;00;Kloten;62;ZH;8.582091155537297;47.45875671859486;de;2008-07-01
Nürensdorf;8309;00;Kloten;62;ZH;8.626374801225266;47.463008407628706;de;2008-07-01
Lufingen;8426;00;Lufingen;63;ZH;8.59476071876244;47.48180331110547;de;2008-07-01
Nürensdorf;8309;00;Nürensdorf;64;ZH;8.651219194297617;47.45497196842903;de;2008-07-01
Oberembrach;8425;00;Oberembrach;65;ZH;8.633535285859539;47.489572766334916;de;2008-07-01
Zürich;8052;00;Opfikon;66;ZH;8.562018473937373;47.417441292121275;de;2008-07-01
Glattbrugg;8152;00;Opfikon;66;ZH;8.562290912636868;47.43257737153295;de;2008-07-01
Opfikon;8152;01;Opfikon;66;ZH;8.58278154704013;47.429507445810145;de;2008-07-01
Glattpark (Opfikon);8152;02;Opfikon;66;ZH;8.56360883679273;47.420834580983005;de;2008-07-01
Rafz;8197;00;Rafz;67;ZH;8.544794368574516;47.60824871844842;de;2008-07-01
Rorbas;8427;03;Rorbas;68;ZH;8.569017300812781;47.53234250825681;de;2008-07-01
Teufen ZH;8428;00;Rorbas;68;ZH;8.56967853913154;47.54321157053543;de;2008-07-01
Wallisellen;8304;00;Wallisellen;69;ZH;8.596275289414212;47.42120835564036;de;2008-07-01
Wasterkingen;8195;00;Wasterkingen;70;ZH;8.471969517538314;47.59653371393546;de;2008-07-01
Wil ZH;8196;00;Wasterkingen;70;ZH;8.477909004862338;47.61031840123572;de;2008-07-01
Wil ZH;8196;00;Wil (ZH);71;ZH;8.501493934474368;47.6121795196919;de;2008-07-01
Rafz;8197;00;Wil (ZH);71;ZH;8.536014125707087;47.59272753366639;de;2008-07-01
Bülach;8180;00;Winkel;72;ZH;8.56796055493353;47.50703316748673;de;2008-07-01
Winkel;8185;00;Winkel;72;ZH;8.558279067118654;47.48206540880701;de;2008-07-01
Bachs;8164;00;Bachs;81;ZH;8.425734543088465;47.52876405918519;de;2008-07-01
Boppelsen;8113;00;Boppelsen;82;ZH;8.407193997162128;47.469943607786306;de;2008-07-01
Regensberg;8158;00;Boppelsen;82;ZH;8.402681006723752;47.48150123114655;de;2008-07-01
Buchs ZH;8107;00;Buchs (ZH);83;ZH;8.440635794612604;47.458666737047764;de;2008-07-01
Dällikon;8108;00;Dällikon;84;ZH;8.432374752330643;47.43900370723226;de;2008-07-01
Dänikon ZH;8114;00;Dänikon;85;ZH;8.404722680308707;47.44435460474701;de;2008-07-01
Dielsdorf;8157;00;Dielsdorf;86;ZH;8.45519210400892;47.475632240708016;de;2008-07-01
Hüttikon;8115;00;Hüttikon;87;ZH;8.392296033212872;47.441101681351554;de;2008-07-01
Steinmaur;8162;00;Neerach;88;ZH;8.456907336746792;47.51083460255063;de;2008-07-01
Bachs;8164;00;Neerach;88;ZH;8.461177224999393;47.51386684808188;de;2008-07-01
Neerach;8173;00;Neerach;88;ZH;8.475461451569268;47.506502386749794;de;2008-07-01
Stadel b. Niederglatt;8174;00;Neerach;88;ZH;8.473982406586178;47.52090894792515;de;2008-07-01
Niederhasli;8155;00;Niederglatt;89;ZH;8.48034588187964;47.49126851860967;de;2008-07-01
Niederglatt ZH;8172;00;Niederglatt;89;ZH;8.500823098983876;47.491929810668886;de;2008-07-01
Niederhasli;8155;00;Niederhasli;90;ZH;8.486615493555027;47.47667575967665;de;2008-07-01
Nassenwil;8155;01;Niederhasli;90;ZH;8.471016354201854;47.46745304006514;de;2012-11-01
Oberhasli;8156;00;Niederhasli;90;ZH;8.499283664007256;47.46063587517245;de;2008-07-01
Niederweningen;8166;00;Niederweningen;91;ZH;8.374606054966783;47.496889586670505;de;2008-07-01
Oberglatt ZH;8154;00;Oberglatt;92;ZH;8.524915084359433;47.48036222225749;de;2008-07-01
Siglistorf;5462;00;Oberweningen;93;ZH;8.4007536766839;47.52759892591363;de;2008-07-01
Oberweningen;8165;02;Oberweningen;93;ZH;8.405782409230724;47.50402396736293;de;2008-07-01
Buchs ZH;8107;00;Otelfingen;94;ZH;8.413565967607223;47.455590550903786;de;2008-07-01
Otelfingen;8112;00;Otelfingen;94;ZH;8.384998354554309;47.46575050607248;de;2008-07-01
Regensberg;8158;00;Regensberg;95;ZH;8.42287643082613;47.47567206334546;de;2008-07-01
Regensdorf;8105;00;Regensdorf;96;ZH;8.465826285684395;47.4319379157927;de;2008-07-01
Watt;8105;02;Regensdorf;96;ZH;8.485664012615931;47.44423326997264;de;2008-07-01
Adlikon b. Regensdorf;8106;02;Regensdorf;96;ZH;8.459002804922823;47.452401770422426;de;2008-07-01
Zürich;8052;00;Rümlang;97;ZH;8.540725263045537;47.43260377966216;de;2008-07-01
Glattbrugg;8152;00;Rümlang;97;ZH;8.554663155235872;47.43353876406498;de;2008-07-01
Rümlang;8153;00;Rümlang;97;ZH;8.52830156752117;47.44846392224187;de;2008-07-01
Schleinikon;8165;03;Schleinikon;98;ZH;8.39112726797213;47.49436024317576;de;2008-07-01
Schöfflisdorf;8165;00;Schöfflisdorf;99;ZH;8.420413812649604;47.499582387905214;de;2008-07-01
Stadel b. Niederglatt;8174;00;Stadel;100;ZH;8.469859656748854;47.526991174864094;de;2008-07-01
Windlach;8175;00;Stadel;100;ZH;8.474257205707701;47.547795843593754;de;2008-07-01
Niederhasli;8155;00;Steinmaur;101;ZH;8.474590065376153;47.491392223199455;de;2008-07-01
Steinmaur;8162;00;Steinmaur;101;ZH;8.44695429308184;47.499566752920586;de;2008-07-01
Sünikon;8162;01;Steinmaur;101;ZH;8.427142750141302;47.48805704782521;de;2011-05-01
Weiach;8187;00;Weiach;102;ZH;8.441509116028257;47.553518872194836;de;2008-07-01
Hinwil;8340;00;Bäretswil;111;ZH;8.851503983044887;47.32318064449313;de;2008-07-01
Bäretswil;8344;00;Bäretswil;111;ZH;8.87394204941022;47.336118318534766;de;2008-07-01
Adetswil;8345;00;Bäretswil;111;ZH;8.836701805136977;47.34256414346185;de;2008-07-01
Gibswil;8498;00;Bäretswil;111;ZH;8.908900149088641;47.32025132610642;de;2012-05-01
Bubikon;8608;00;Bubikon;112;ZH;8.810813148777084;47.27466397518058;de;2008-07-01
Wolfhausen;8633;00;Bubikon;112;ZH;8.798031380470405;47.25843500627379;de;2008-07-01
Hinwil;8340;00;Dürnten;113;ZH;8.851012312835968;47.2839140566789;de;2008-07-01
Bubikon;8608;00;Dürnten;113;ZH;8.829948397477514;47.267504113294216;de;2008-07-01
Rüti ZH;8630;00;Dürnten;113;ZH;8.854275814712501;47.26384865012475;de;2008-07-01
Tann;8632;00;Dürnten;113;ZH;8.849182802364606;47.26823205476123;de;2008-07-01
Dürnten;8635;00;Dürnten;113;ZH;8.873968872068637;47.2748994703006;de;2008-07-01
Wald ZH;8636;00;Dürnten;113;ZH;8.890258641010158;47.27117977728536;de;2008-07-01
Hinwil;8340;00;Fischenthal;114;ZH;8.891286316713703;47.314635104695164;de;2008-07-01
Bauma;8494;00;Fischenthal;114;ZH;8.921140613084981;47.35968874964346;de;2008-07-01
Steg im Tösstal;8496;00;Fischenthal;114;ZH;8.946241427780548;47.34409483966649;de;2008-07-01
Fischenthal;8497;00;Fischenthal;114;ZH;8.925077252280353;47.33286698673823;de;2008-07-01
Gibswil;8498;00;Fischenthal;114;ZH;8.906843198309364;47.31621916764147;de;2012-05-01
Bertschikon (Gossau ZH);8614;00;Gossau (ZH);115;ZH;8.757023393601285;47.320780888165345;de;2008-07-01
Mönchaltorf;8617;00;Gossau (ZH);115;ZH;8.735574920329533;47.3095955422479;de;2008-07-01
Grüt (Gossau ZH);8624;00;Gossau (ZH);115;ZH;8.782125461016964;47.30854393520204;de;2008-07-01
Gossau ZH;8625;00;Gossau (ZH);115;ZH;8.757683985195268;47.30410472479312;de;2008-07-01
Ottikon (Gossau ZH);8626;00;Gossau (ZH);115;ZH;8.78601560170108;47.28934345225073;de;2008-07-01
Grüningen;8627;00;Gossau (ZH);115;ZH;8.73701161787328;47.288551629194764;de;2008-07-01
Grüningen;8627;00;Grüningen;116;ZH;8.762113623757584;47.278765154276456;de;2008-07-01
Hinwil;8340;00;Hinwil;117;ZH;8.85042600289404;47.302914016200994;de;2008-07-01
Wernetshausen;8342;00;Hinwil;117;ZH;8.877708773082919;47.29058960226543;de;2008-07-01
Gibswil;8498;00;Hinwil;117;ZH;8.898619529664106;47.308712426818225;de;2012-05-01
Rüti ZH;8630;00;Rüti (ZH);118;ZH;8.860706042953232;47.25805090485419;de;2008-07-01
Wald ZH;8636;00;Rüti (ZH);118;ZH;8.903738127861878;47.26770492776988;de;2008-07-01
Aathal-Seegräben;8607;00;Seegräben;119;ZH;8.767359557100448;47.34309566523963;de;2008-07-01
Fischenthal;8497;00;Wald (ZH);120;ZH;8.932103896751995;47.314066712565555;de;2008-07-01
Wald ZH;8636;00;Wald (ZH);120;ZH;8.925873208076162;47.283431035193836;de;2008-07-01
Laupen ZH;8637;00;Wald (ZH);120;ZH;8.929785027588784;47.26684415154856;de;2008-07-01
Adetswil;8345;00;Wetzikon (ZH);121;ZH;8.830090605594927;47.33480863845595;de;2008-07-01
Wetzikon ZH;8620;00;Wetzikon (ZH);121;ZH;8.807465556596462;47.31917077462777;de;2008-07-01
Wetzikon ZH;8623;00;Wetzikon (ZH);121;ZH;8.82141480688538;47.33217009922238;de;2008-07-01
Zürich;8041;00;Adliswil;131;ZH;8.513269871915519;47.32233637368064;de;2008-07-01
Adliswil;8134;00;Adliswil;131;ZH;8.521857425328529;47.30790947351196;de;2008-07-01
Kilchberg ZH;8802;00;Kilchberg (ZH);135;ZH;8.545314270547339;47.32158525469756;de;2008-07-01
Rüschlikon;8803;00;Kilchberg (ZH);135;ZH;8.554338796339186;47.31546233125291;de;2008-07-01
Langnau am Albis;8135;00;Langnau am Albis;136;ZH;8.528289972760183;47.28307437789006;de;2008-07-01
Oberrieden;8942;00;Oberrieden;137;ZH;8.569209484942323;47.27285334996683;de;2008-07-01
Richterswil;8805;00;Richterswil;138;ZH;8.695921440587972;47.208121446234856;de;2008-07-01
Samstagern;8833;00;Richterswil;138;ZH;8.67948206168176;47.19379004658602;de;2008-07-01
Rüschlikon;8803;00;Rüschlikon;139;ZH;8.547617515019214;47.304614508602164;de;2008-07-01
Gattikon;8136;00;Thalwil;141;ZH;8.553091141227787;47.27821877052136;de;2008-07-01
Thalwil;8800;00;Thalwil;141;ZH;8.563761623586169;47.28873242010634;de;2008-07-01
Erlenbach ZH;8703;00;Erlenbach (ZH);151;ZH;8.59918522368462;47.30399176321523;de;2008-07-01
Erlenbach ZH;8703;00;Herrliberg;152;ZH;8.604055719019238;47.29369122212331;de;2008-07-01
Herrliberg;8704;00;Herrliberg;152;ZH;8.629232099256791;47.29678536503002;de;2008-07-01
Grüningen;8627;00;Hombrechtikon;153;ZH;8.778993972617705;47.26494967703241;de;2008-07-01
Hombrechtikon;8634;00;Hombrechtikon;153;ZH;8.765860940445442;47.25518904357068;de;2008-07-01
Feldbach;8714;00;Hombrechtikon;153;ZH;8.785545257475338;47.241631700696374;de;2008-07-01
Forch;8127;00;Küsnacht (ZH);154;ZH;8.648898967303692;47.322373720578895;de;2008-07-01
Küsnacht ZH;8700;00;Küsnacht (ZH);154;ZH;8.596214107930415;47.321447208824864;de;2008-07-01
Oetwil am See;8618;00;Männedorf;155;ZH;8.712196092016388;47.26563668852605;de;2008-07-01
Männedorf;8708;00;Männedorf;155;ZH;8.696781921709261;47.26118103181018;de;2008-07-01
Meilen;8706;00;Meilen;156;ZH;8.646048603739532;47.281459882230045;de;2008-07-01
Oetwil am See;8618;00;Oetwil am See;157;ZH;8.718220715040642;47.27459686556853;de;2008-07-01
Hombrechtikon;8634;00;Stäfa;158;ZH;8.75555667777745;47.24288219609672;de;2008-07-01
Stäfa;8712;00;Stäfa;158;ZH;8.728813214962715;47.24925618148189;de;2008-07-01
Uerikon;8713;00;Stäfa;158;ZH;8.757457980099401;47.23790288450715;de;2008-07-01
Uetikon am See;8707;00;Uetikon am See;159;ZH;8.68226867462915;47.27120320574424;de;2008-07-01
Zumikon;8126;00;Zumikon;160;ZH;8.625842113545975;47.33589625560546;de;2008-07-01
Zollikerberg;8125;00;Zollikon;161;ZH;8.608221655489901;47.344652426776065;de;2008-07-01
Zollikon;8702;00;Zollikon;161;ZH;8.580677364191617;47.341549430766015;de;2008-07-01
Illnau;8308;00;Fehraltorf;172;ZH;8.747317006087508;47.404283236731175;de;2008-07-01
Fehraltorf;8320;00;Fehraltorf;172;ZH;8.750521186544397;47.3874052686299;de;2008-07-01
Hittnau;8335;00;Hittnau;173;ZH;8.829818323403941;47.3672278630916;de;2008-07-01
Kemptthal;8310;00;Lindau;176;ZH;8.703725885185047;47.448872984253505;de;2008-07-01
Grafstal;8310;01;Lindau;176;ZH;8.697431277735987;47.44428629845793;de;2008-07-01
Winterberg ZH;8312;00;Lindau;176;ZH;8.690739154903001;47.45711103474635;de;2008-07-01
Lindau;8315;00;Lindau;176;ZH;8.677375466276608;47.443628648656194;de;2008-07-01
Tagelswangen;8317;00;Lindau;176;ZH;8.669009149968462;47.42676065527313;de;2008-07-01
Pfäffikon ZH;8330;00;Pfäffikon;177;ZH;8.796360148509432;47.36690541182255;de;2008-07-01
Auslikon;8331;00;Pfäffikon;177;ZH;8.809399316555426;47.34639779223921;de;2008-07-01
Wetzikon ZH;8623;00;Pfäffikon;177;ZH;8.815556157314782;47.3381685401677;de;2008-07-01
Madetswil;8322;00;Russikon;178;ZH;8.793747217663336;47.41220572446654;de;2008-07-01
Gündisau;8322;02;Russikon;178;ZH;8.805382075291913;47.39830675114356;de;2011-05-01
Russikon;8332;00;Russikon;178;ZH;8.783096174084474;47.395314150881305;de;2008-07-01
Rumlikon;8332;02;Russikon;178;ZH;8.761819469841338;47.40836875387567;de;2011-05-01
Agasul;8308;02;Weisslingen;180;ZH;8.746811360680825;47.42682371733336;de;2008-07-01
Weisslingen;8484;00;Weisslingen;180;ZH;8.77261163376546;47.43536150273446;de;2008-07-01
Neschwil;8484;02;Weisslingen;180;ZH;8.794576554946492;47.4271820569377;de;2008-07-01
Theilingen;8484;03;Weisslingen;180;ZH;8.76489293539688;47.41739703564332;de;2008-07-01
Rikon im Tösstal;8486;00;Weisslingen;180;ZH;8.786795145939955;47.44801655900155;de;2008-07-01
Wila;8492;00;Wila;181;ZH;8.867380297062251;47.40055757068583;de;2008-07-01
Saland;8493;00;Wila;181;ZH;8.858048177777723;47.396843924772405;de;2008-07-01
Madetswil;8322;00;Wildberg;182;ZH;8.80474303500918;47.418520515777395;de;2008-07-01
Turbenthal;8488;00;Wildberg;182;ZH;8.83155023145853;47.439030878711584;de;2008-07-01
Wildberg;8489;00;Wildberg;182;ZH;8.819649743614784;47.427474184181285;de;2008-07-01
Schalchen;8489;01;Wildberg;182;ZH;8.833423663245771;47.40555088030224;de;2016-03-01
Ehrikon;8489;02;Wildberg;182;ZH;8.812074009287038;47.416354436527136;de;2016-03-01
Gockhausen;8044;01;Dübendorf;191;ZH;8.604425594944797;47.37846195674399;de;2008-07-01
Zürich;8051;00;Dübendorf;191;ZH;8.589022233520566;47.39350648665631;de;2008-07-01
Dübendorf;8600;00;Dübendorf;191;ZH;8.620954342515939;47.392767667436225;de;2008-07-01
Schwerzenbach;8603;00;Dübendorf;191;ZH;8.646336407555946;47.38646509527682;de;2008-07-01
Forch;8127;00;Egg;192;ZH;8.662024467794078;47.30566472246291;de;2008-07-01
Egg b. Zürich;8132;00;Egg;192;ZH;8.687626144446783;47.29273027912083;de;2008-07-01
Hinteregg;8132;02;Egg;192;ZH;8.684547456355146;47.31108208428653;de;2008-07-01
Esslingen;8133;00;Egg;192;ZH;8.716084997788933;47.289232465534425;de;2008-07-01
Fällanden;8117;00;Fällanden;193;ZH;8.64085556537135;47.37038005952463;de;2008-07-01
Pfaffhausen;8118;00;Fällanden;193;ZH;8.625834124642964;47.366076629870314;de;2008-07-01
Benglen;8121;00;Fällanden;193;ZH;8.636745925676992;47.361208645489334;de;2008-07-01
Greifensee;8606;02;Greifensee;194;ZH;8.67978104151809;47.36617957444976;de;2008-07-01
Binz;8122;00;Maur;195;ZH;8.62714754196478;47.356688615933656;de;2008-07-01
Ebmatingen;8123;00;Maur;195;ZH;8.63942801606883;47.35139600466887;de;2008-07-01
Maur;8124;00;Maur;195;ZH;8.670572255086789;47.332520041714695;de;2008-07-01
Forch;8127;00;Maur;195;ZH;8.654119906750275;47.33460745603274;de;2008-07-01
Hinteregg;8132;02;Maur;195;ZH;8.68336232801345;47.316977467081216;de;2008-07-01
Aathal-Seegräben;8607;00;Mönchaltorf;196;ZH;8.758535529721236;47.328562779260274;de;2008-07-01
Mönchaltorf;8617;00;Mönchaltorf;196;ZH;8.719472780131484;47.3123065910098;de;2008-07-01
Dübendorf;8600;00;Schwerzenbach;197;ZH;8.650132553146598;47.390970008723315;de;2008-07-01
Schwerzenbach;8603;00;Schwerzenbach;197;ZH;8.656313473794413;47.38236042009272;de;2008-07-01
Gutenswil;8605;00;Uster;198;ZH;8.7146734553444;47.37679457690438;de;2008-07-01
Nänikon;8606;00;Uster;198;ZH;8.692812632626175;47.37136553147202;de;2008-07-01
Uster;8610;00;Uster;198;ZH;8.722717093830523;47.352750229671656;de;2008-07-01
Sulzbach;8614;02;Uster;198;ZH;8.746736156576246;47.32724668054481;de;2008-07-01
Wermatswil;8615;00;Uster;198;ZH;8.740617898454992;47.36590914596247;de;2008-07-01
Freudwil;8615;02;Uster;198;ZH;8.732563652508222;47.37668819357396;de;2008-07-01
Riedikon;8616;00;Uster;198;ZH;8.710460234518932;47.32892924442748;de;2008-07-01
Mönchaltorf;8617;00;Uster;198;ZH;8.735766530076761;47.32693521216335;de;2008-07-01
Effretikon;8307;00;Volketswil;199;ZH;8.682460581742713;47.41183044379324;de;2008-07-01
Volketswil;8604;00;Volketswil;199;ZH;8.681958816480575;47.39486433897833;de;2008-07-01
Gutenswil;8605;00;Volketswil;199;ZH;8.717574035685944;47.38651767027212;de;2008-07-01
Brüttisellen;8306;00;Wangen-Brüttisellen;200;ZH;8.637020462627834;47.42218616368609;de;2008-07-01
Wangen b. Dübendorf;8602;00;Wangen-Brüttisellen;200;ZH;8.650518158040128;47.40872203057851;de;2008-07-01
Altikon;8479;00;Altikon;211;ZH;8.784487579228761;47.57821306537119;de;2008-07-01
Brütten;8311;00;Brütten;213;ZH;8.675184951624297;47.475232536457966;de;2008-07-01
Rutschwil (Dägerlen);8471;00;Dägerlen;214;ZH;8.732785548705644;47.556279715111366;de;2008-07-01
Dägerlen;8471;02;Dägerlen;214;ZH;8.716605325571045;47.561364458846924;de;2008-07-01
Oberwil (Dägerlen);8471;03;Dägerlen;214;ZH;8.714650031988254;47.571311974998764;de;2008-07-01
Berg (Dägerlen);8471;04;Dägerlen;214;ZH;8.733289554599372;47.56660146881929;de;2008-07-01
Bänk (Dägerlen);8471;05;Dägerlen;214;ZH;8.738671302741118;47.54890920849331;de;2008-07-01
Dättlikon;8421;00;Dättlikon;215;ZH;8.623523171011907;47.52858201504581;de;2008-07-01
Dinhard;8474;00;Dinhard;216;ZH;8.765165363560921;47.55912497430107;de;2008-07-01
Ellikon an der Thur;8548;00;Ellikon an der Thur;218;ZH;8.827220439669107;47.56245731384108;de;2008-07-01
Elsau;8352;00;Elsau;219;ZH;8.804811911329173;47.50224214680485;de;2008-07-01
Gerlikon;8500;04;Hagenbuch;220;ZH;8.875508589137782;47.52769445652258;de;2008-07-01
Hagenbuch ZH;8523;00;Hagenbuch;220;ZH;8.874054485363839;47.51464240347178;de;2008-07-01
Hettlingen;8442;00;Hettlingen;221;ZH;8.710725043684704;47.54810659301347;de;2008-07-01
Aesch (Neftenbach);8412;00;Neftenbach;223;ZH;8.677500146570514;47.54465135810802;de;2008-07-01
Riet (Neftenbach);8412;01;Neftenbach;223;ZH;8.689065993876929;47.5371882585659;de;2008-07-01
Hünikon (Neftenbach);8412;02;Neftenbach;223;ZH;8.663382714158269;47.553776480004075;de;2008-07-01
Neftenbach;8413;00;Neftenbach;223;ZH;8.66329537118961;47.531451826773726;de;2008-07-01
Pfungen;8422;00;Pfungen;224;ZH;8.642368739518986;47.50972556603519;de;2008-07-01
Rickenbach ZH;8545;00;Rickenbach (ZH);225;ZH;8.795570400673322;47.55374902495544;de;2008-07-01
Rickenbach Sulz;8545;01;Rickenbach (ZH);225;ZH;8.78750289234792;47.54120201763564;de;2008-07-01
